"","age","sex","date","responsetime1","responsetime2","still1","still2","method","sideCile1","sideCile2","picked_ball1","picked_ball2","condition","trial","correct_first","correct_second","correct_all","id","agecat"
"341",5,"female","2021-10-25_13h23.03.647",6.3024,6.036,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",2,0,1,0,"pseudo-word demonstrative_2021-10-25_13h23.03.647","child"
"342",5,"female","2021-10-25_13h23.03.647",7.5746,10.5867,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",3,1,0,0,"pseudo-word demonstrative_2021-10-25_13h23.03.647","child"
"343",5,"female","2021-10-25_13h23.03.647",9.6189,9.6977,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",4,1,0,0,"pseudo-word demonstrative_2021-10-25_13h23.03.647","child"
"344",5,"female","2021-10-25_13h23.03.647",8.3468,6.6929,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",5,0,1,0,"pseudo-word demonstrative_2021-10-25_13h23.03.647","child"
"345",5,"female","2021-10-25_13h23.03.647",10.5737,7.4008,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",6,0,1,0,"pseudo-word demonstrative_2021-10-25_13h23.03.647","child"
"346",5,"female","2021-10-25_13h23.03.647",6.8597,9.0767,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",7,0,1,0,"pseudo-word demonstrative_2021-10-25_13h23.03.647","child"
"347",5,"female","2021-10-25_13h23.03.647",8.2772,6.0431,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",8,1,0,0,"pseudo-word demonstrative_2021-10-25_13h23.03.647","child"
"352",5,"male","2021-10-25_14h08.47.666",12.1381,9.0029,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","left","pseudo-word demonstrative",1,0,0,0,"pseudo-word demonstrative_2021-10-25_14h08.47.666","child"
"353",5,"male","2021-10-25_14h08.47.666",9.2324,13.6646,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",2,1,0,0,"pseudo-word demonstrative_2021-10-25_14h08.47.666","child"
"354",5,"male","2021-10-25_14h08.47.666",8.4886,14.4416,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","right","pseudo-word demonstrative",3,1,1,1,"pseudo-word demonstrative_2021-10-25_14h08.47.666","child"
"355",5,"male","2021-10-25_14h08.47.666",9.5084,8.4339,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","right","pseudo-word demonstrative",4,0,0,0,"pseudo-word demonstrative_2021-10-25_14h08.47.666","child"
"356",5,"male","2021-10-25_14h08.47.666",6.568,9.9665,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","right","pseudo-word demonstrative",5,0,0,0,"pseudo-word demonstrative_2021-10-25_14h08.47.666","child"
"357",5,"male","2021-10-25_14h08.47.666",13.1035,8.7746,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","right","pseudo-word demonstrative",6,0,0,0,"pseudo-word demonstrative_2021-10-25_14h08.47.666","child"
"358",5,"male","2021-10-25_14h08.47.666",8.6459,8.5001,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",7,1,0,0,"pseudo-word demonstrative_2021-10-25_14h08.47.666","child"
"359",5,"male","2021-10-25_14h08.47.666",7.432,7.146,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",8,1,0,0,"pseudo-word demonstrative_2021-10-25_14h08.47.666","child"
"364",5,"female","2021-10-25_14h14.19.897",16.3151,15.8891,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","right","pseudo-word demonstrative",1,0,0,0,"pseudo-word demonstrative_2021-10-25_14h14.19.897","child"
"365",5,"female","2021-10-25_14h14.19.897",7.9789,9.683,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","left","pseudo-word demonstrative",2,1,1,1,"pseudo-word demonstrative_2021-10-25_14h14.19.897","child"
"366",5,"female","2021-10-25_14h14.19.897",9.009,11.382,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",3,1,0,0,"pseudo-word demonstrative_2021-10-25_14h14.19.897","child"
"367",5,"female","2021-10-25_14h14.19.897",11.5078,28.0813,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",4,1,0,0,"pseudo-word demonstrative_2021-10-25_14h14.19.897","child"
"368",5,"female","2021-10-25_14h14.19.897",7.3868,9.0569,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",5,1,0,0,"pseudo-word demonstrative_2021-10-25_14h14.19.897","child"
"369",5,"female","2021-10-25_14h14.19.897",6.9438,9.0929,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",6,1,0,0,"pseudo-word demonstrative_2021-10-25_14h14.19.897","child"
"370",5,"female","2021-10-25_14h14.19.897",7.5823,7.0809,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",7,0,1,0,"pseudo-word demonstrative_2021-10-25_14h14.19.897","child"
"371",5,"female","2021-10-25_14h14.19.897",9.7414,7.3699,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",8,0,1,0,"pseudo-word demonstrative_2021-10-25_14h14.19.897","child"
"376",5,"male","2021-10-26_12h54.46.216",12.263,9.5854,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",1,1,0,0,"pseudo-word demonstrative_2021-10-26_12h54.46.216","child"
"377",5,"male","2021-10-26_12h54.46.216",9.4327,10.8651,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","right","pseudo-word demonstrative",2,0,0,0,"pseudo-word demonstrative_2021-10-26_12h54.46.216","child"
"378",5,"male","2021-10-26_12h54.46.216",8.5365,6.6223,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",3,0,1,0,"pseudo-word demonstrative_2021-10-26_12h54.46.216","child"
"379",5,"male","2021-10-26_12h54.46.216",9.4889,8.9858,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",4,0,1,0,"pseudo-word demonstrative_2021-10-26_12h54.46.216","child"
"380",5,"male","2021-10-26_12h54.46.216",7.2428,8.5383,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",5,1,0,0,"pseudo-word demonstrative_2021-10-26_12h54.46.216","child"
"381",5,"male","2021-10-26_12h54.46.216",6.7517,8.8114,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",6,1,0,0,"pseudo-word demonstrative_2021-10-26_12h54.46.216","child"
"382",5,"male","2021-10-26_12h54.46.216",10.2047,9.0814,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",7,0,1,0,"pseudo-word demonstrative_2021-10-26_12h54.46.216","child"
"383",5,"male","2021-10-26_12h54.46.216",6.4489,7.7562,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",8,1,0,0,"pseudo-word demonstrative_2021-10-26_12h54.46.216","child"
"388",6,"female","2021-10-29_10h18.23.668",14.2315,7.6632,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",1,0,1,0,"pseudo-word demonstrative_2021-10-29_10h18.23.668","child"
"389",6,"female","2021-10-29_10h18.23.668",9.1683,7.5056,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",2,0,1,0,"pseudo-word demonstrative_2021-10-29_10h18.23.668","child"
"390",6,"female","2021-10-29_10h18.23.668",6.5165,10.6489,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",3,1,0,0,"pseudo-word demonstrative_2021-10-29_10h18.23.668","child"
"391",6,"female","2021-10-29_10h18.23.668",6.8852,6.3358,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",4,0,1,0,"pseudo-word demonstrative_2021-10-29_10h18.23.668","child"
"392",6,"female","2021-10-29_10h18.23.668",5.7243,7.2544,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",5,0,1,0,"pseudo-word demonstrative_2021-10-29_10h18.23.668","child"
"393",6,"female","2021-10-29_10h18.23.668",7.2456,6.788,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",6,0,1,0,"pseudo-word demonstrative_2021-10-29_10h18.23.668","child"
"394",6,"female","2021-10-29_10h18.23.668",5.7403,6.7412,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",7,1,0,0,"pseudo-word demonstrative_2021-10-29_10h18.23.668","child"
"395",6,"female","2021-10-29_10h18.23.668",8.1576,7.2849,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",8,0,1,0,"pseudo-word demonstrative_2021-10-29_10h18.23.668","child"
"400",5,"female","2021-10-29_10h29.45.054",6.4219,8.9834,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",1,1,0,0,"pseudo-word demonstrative_2021-10-29_10h29.45.054","child"
"401",5,"female","2021-10-29_10h29.45.054",4.8393,6.0229,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",2,0,1,0,"pseudo-word demonstrative_2021-10-29_10h29.45.054","child"
"402",5,"female","2021-10-29_10h29.45.054",5.8582,5.11,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",3,0,1,0,"pseudo-word demonstrative_2021-10-29_10h29.45.054","child"
"403",5,"female","2021-10-29_10h29.45.054",6.1702,5.1352,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",4,1,0,0,"pseudo-word demonstrative_2021-10-29_10h29.45.054","child"
"404",5,"female","2021-10-29_10h29.45.054",5.6615,4.5251,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",5,0,1,0,"pseudo-word demonstrative_2021-10-29_10h29.45.054","child"
"405",5,"female","2021-10-29_10h29.45.054",5.8527,5.9487,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",6,0,1,0,"pseudo-word demonstrative_2021-10-29_10h29.45.054","child"
"406",5,"female","2021-10-29_10h29.45.054",4.9368,5.4287,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",7,0,1,0,"pseudo-word demonstrative_2021-10-29_10h29.45.054","child"
"407",5,"female","2021-10-29_10h29.45.054",8.2799,4.7184,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",8,1,0,0,"pseudo-word demonstrative_2021-10-29_10h29.45.054","child"
"412",6,"female","2021-10-29_12h39.31.250",12.2279,13.0433,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",1,0,1,0,"pseudo-word demonstrative_2021-10-29_12h39.31.250","child"
"413",6,"female","2021-10-29_12h39.31.250",13.7029,9.1961,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","right","pseudo-word demonstrative",2,0,0,0,"pseudo-word demonstrative_2021-10-29_12h39.31.250","child"
"414",6,"female","2021-10-29_12h39.31.250",7.7558,7.7144,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","right","pseudo-word demonstrative",3,0,0,0,"pseudo-word demonstrative_2021-10-29_12h39.31.250","child"
"415",6,"female","2021-10-29_12h39.31.250",6.34,6.9747,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","left","pseudo-word demonstrative",4,0,0,0,"pseudo-word demonstrative_2021-10-29_12h39.31.250","child"
"416",6,"female","2021-10-29_12h39.31.250",6.6256,7.3306,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","left","pseudo-word demonstrative",5,0,0,0,"pseudo-word demonstrative_2021-10-29_12h39.31.250","child"
"417",6,"female","2021-10-29_12h39.31.250",5.6159,8.7443,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","right","pseudo-word demonstrative",6,0,0,0,"pseudo-word demonstrative_2021-10-29_12h39.31.250","child"
"418",6,"female","2021-10-29_12h39.31.250",6.1833,6.5068,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","left","pseudo-word demonstrative",7,0,0,0,"pseudo-word demonstrative_2021-10-29_12h39.31.250","child"
"419",6,"female","2021-10-29_12h39.31.250",6.2771,5.9735,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","right","pseudo-word demonstrative",8,0,0,0,"pseudo-word demonstrative_2021-10-29_12h39.31.250","child"
"424",10,"female","2021-11-04_09h40.18.796",24.4407,24.3902,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",1,0,1,0,"pseudo-word demonstrative_2021-11-04_09h40.18.796","teen"
"425",10,"female","2021-11-04_09h40.18.796",7.4025,6.578,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",2,0,1,0,"pseudo-word demonstrative_2021-11-04_09h40.18.796","teen"
"426",10,"female","2021-11-04_09h40.18.796",9.207,8.3575,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",3,1,0,0,"pseudo-word demonstrative_2021-11-04_09h40.18.796","teen"
"427",10,"female","2021-11-04_09h40.18.796",6.6645,8.7981,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",4,0,1,0,"pseudo-word demonstrative_2021-11-04_09h40.18.796","teen"
"428",10,"female","2021-11-04_09h40.18.796",7.1791,7.4933,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",5,0,1,0,"pseudo-word demonstrative_2021-11-04_09h40.18.796","teen"
"429",10,"female","2021-11-04_09h40.18.796",6.8105,11.0095,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",6,0,1,0,"pseudo-word demonstrative_2021-11-04_09h40.18.796","teen"
"430",10,"female","2021-11-04_09h40.18.796",7.9808,5.219,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",7,0,1,0,"pseudo-word demonstrative_2021-11-04_09h40.18.796","teen"
"431",10,"female","2021-11-04_09h40.18.796",6.1686,6.4784,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",8,0,1,0,"pseudo-word demonstrative_2021-11-04_09h40.18.796","teen"
"436",10,"female","2021-11-04_10h32.56.444",9.3315,11.2544,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",1,0,1,0,"pseudo-word demonstrative_2021-11-04_10h32.56.444","teen"
"437",10,"female","2021-11-04_10h32.56.444",5.0501,3.7815,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",2,0,1,0,"pseudo-word demonstrative_2021-11-04_10h32.56.444","teen"
"438",10,"female","2021-11-04_10h32.56.444",9.3818,4.4893,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",3,0,1,0,"pseudo-word demonstrative_2021-11-04_10h32.56.444","teen"
"439",10,"female","2021-11-04_10h32.56.444",4.079,4.2069,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",4,0,1,0,"pseudo-word demonstrative_2021-11-04_10h32.56.444","teen"
"440",10,"female","2021-11-04_10h32.56.444",4.998,4.2413,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",5,1,0,0,"pseudo-word demonstrative_2021-11-04_10h32.56.444","teen"
"441",10,"female","2021-11-04_10h32.56.444",5.0838,3.986,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",6,0,1,0,"pseudo-word demonstrative_2021-11-04_10h32.56.444","teen"
"442",10,"female","2021-11-04_10h32.56.444",4.4024,4.8632,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",7,0,1,0,"pseudo-word demonstrative_2021-11-04_10h32.56.444","teen"
"443",10,"female","2021-11-04_10h32.56.444",4.6784,3.8325,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",8,0,1,0,"pseudo-word demonstrative_2021-11-04_10h32.56.444","teen"
"448",11,"male","2021-11-04_11h11.06.921",10.0388,6.1885,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",1,1,0,0,"pseudo-word demonstrative_2021-11-04_11h11.06.921","teen"
"449",11,"male","2021-11-04_11h11.06.921",8.5642,5.2346,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","right","pseudo-word demonstrative",2,0,0,0,"pseudo-word demonstrative_2021-11-04_11h11.06.921","teen"
"450",11,"male","2021-11-04_11h11.06.921",5.0854,4.4515,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","left","pseudo-word demonstrative",3,0,0,0,"pseudo-word demonstrative_2021-11-04_11h11.06.921","teen"
"451",11,"male","2021-11-04_11h11.06.921",4.5081,5.9235,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","left","pseudo-word demonstrative",4,0,0,0,"pseudo-word demonstrative_2021-11-04_11h11.06.921","teen"
"452",11,"male","2021-11-04_11h11.06.921",4.4748,4.8705,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",5,0,1,0,"pseudo-word demonstrative_2021-11-04_11h11.06.921","teen"
"453",11,"male","2021-11-04_11h11.06.921",4.0968,3.8237,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",6,0,1,0,"pseudo-word demonstrative_2021-11-04_11h11.06.921","teen"
"454",11,"male","2021-11-04_11h11.06.921",4.7894,4.5214,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",7,0,1,0,"pseudo-word demonstrative_2021-11-04_11h11.06.921","teen"
"455",11,"male","2021-11-04_11h11.06.921",5.7585,3.8073,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","pseudo-word demonstrative",8,1,0,0,"pseudo-word demonstrative_2021-11-04_11h11.06.921","teen"
"460",10,"female","2021-11-04_12h36.47.707",16.0524,7.2018,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",1,1,0,0,"pseudo-word demonstrative_2021-11-04_12h36.47.707","teen"
"461",10,"female","2021-11-04_12h36.47.707",5.5764,4.8953,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","left","pseudo-word demonstrative",2,0,0,0,"pseudo-word demonstrative_2021-11-04_12h36.47.707","teen"
"462",10,"female","2021-11-04_12h36.47.707",6.7316,8.5877,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",3,0,1,0,"pseudo-word demonstrative_2021-11-04_12h36.47.707","teen"
"463",10,"female","2021-11-04_12h36.47.707",7.2939,5.3014,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",4,0,1,0,"pseudo-word demonstrative_2021-11-04_12h36.47.707","teen"
"464",10,"female","2021-11-04_12h36.47.707",7.8165,7.4527,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","pseudo-word demonstrative",5,0,1,0,"pseudo-word demonstrative_2021-11-04_12h36.47.707","teen"
"465",10,"female","2021-11-04_12h36.47.707",10.9466,6.633,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","right","pseudo-word demonstrative",6,0,0,0,"pseudo-word demonstrative_2021-11-04_12h36.47.707","teen"
"466",10,"female","2021-11-04_12h36.47.707",6.8348,9.3879,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","right","pseudo-word demonstrative",7,1,1,1,"pseudo-word demonstrative_2021-11-04_12h36.47.707","teen"
"467",10,"female","2021-11-04_12h36.47.707",6.1283,8.3339,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","pseudo-word demonstrative",8,0,1,0,"pseudo-word demonstrative_2021-11-04_12h36.47.707","teen"
"472",11,"male","2021-11-04_13h18.32.903",8.3942,7.5284,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",1,1,0,0,"pseudo-word demonstrative_2021-11-04_13h18.32.903","teen"
"473",11,"male","2021-11-04_13h18.32.903",7.6571,9.0028,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","pseudo-word demonstrative",2,1,0,0,"pseudo-word demonstrative_2021-11-04_13h18.32.903","teen"
"474",11,"male","2021-11-04_13h18.32.903",8.2663,6.9128,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","right","pseudo-word demonstrative",3,1,1,1,"pseudo-word demonstrative_2021-11-04_13h18.32.903","teen"
"475",11,"male","2021-11-04_13h18.32.903",5.7723,3.6261,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","left","pseudo-word demonstrative",4,1,1,1,"pseudo-word demonstrative_2021-11-04_13h18.32.903","teen"
